session,event_type,event_id,detection_id,gt_start_time_s,gt_end_time_s,detection_time_s,distance_s
S01,contact,GT0002,DET0002,26.354,26.354,26.354,0.0
S01,contact,GT0003,DET0003,27.806,27.806,27.806,0.0
S01,contact,GT0008,DET0008,52.908,52.908,52.908,0.0
S01,contact,GT0009,DET0009,57.948,57.948,57.948,0.0
S01,contact,GT0014,DET0014,97.604,97.604,97.604,0.0
S01,contact,GT0015,DET0015,98.594,98.594,98.594,0.0
S01,contact,GT0017,DET0017,116.678,116.678,116.678,0.0
S01,contact,GT0018,DET0018,117.668,117.668,117.668,0.0
S01,contact,GT0019,DET0019,118.658,118.658,118.658,0.0
S01,contact,GT0020,DET0020,119.648,119.648,119.648,0.0
S01,off_track,GT0007,DET0007,51.948,51.948,51.948,0.0
S01,off_track,GT0012,DET0012,81.566,81.566,81.566,0.0
S01,off_track,GT0013,DET0013,93.05,93.05,93.05,0.0
S01,off_track,GT0016,DET0016,103.082,103.082,103.082,0.0
S01,pace_surge,GT0001,DET0001,20.348,20.348,20.348,0.0
S01,pace_surge,GT0005,DET0005,44.928,44.928,44.928,0.0
S01,pace_surge,GT0006,DET0006,49.428,49.428,49.428,0.0
S01,pace_surge,GT0011,DET0011,69.488,69.488,69.488,0.0
S01,position_change,GT0004,DET0004,29.324,29.324,29.324,0.0
S01,position_change,GT0010,DET0010,61.968,61.968,61.968,0.0
S02,contact,GT0033,DET0033,250.308,250.308,250.308,0.0
S02,contact,GT0034,DET0034,257.868,257.868,257.868,0.0
S02,lap_complete,GT0023,DET0023,175.008,175.008,175.008,0.0
S02,lap_complete,GT0036,DET0036,300.708,300.708,300.708,0.0
S02,off_track,GT0022,DET0022,170.448,170.448,170.448,0.0
S02,off_track,GT0028,DET0028,214.668,214.668,214.668,0.0
S02,off_track,GT0029,DET0029,216.648,216.648,216.648,0.0
S02,pace_surge,GT0021,DET0021,164.448,164.448,164.448,0.0
S02,pace_surge,GT0024,DET0024,176.508,176.508,176.508,0.0
S02,pace_surge,GT0025,DET0025,188.028,188.028,188.028,0.0
S02,pace_surge,GT0026,DET0026,204.588,204.588,204.588,0.0
S02,pace_surge,GT0027,DET0027,211.128,211.128,211.128,0.0
S02,pace_surge,GT0030,DET0030,228.228,228.228,228.228,0.0
S02,pace_surge,GT0031,DET0031,230.748,230.748,230.748,0.0
S02,pace_surge,GT0032,DET0032,240.288,240.288,240.288,0.0
S02,pace_surge,GT0035,DET0035,279.468,279.468,279.468,0.0
S03,battle,GT0054,DET0054,146.628,146.628,146.628,0.0
S03,battle,GT0057,DET0057,166.728,166.728,166.728,0.0
S03,contact,GT0037,DET0037,42.588,42.588,42.588,0.0
S03,contact,GT0039,DET0039,54.168,54.168,54.168,0.0
S03,contact,GT0046,DET0046,79.784,79.784,79.784,0.0
S03,contact,GT0047,DET0047,86.846,86.846,86.846,0.0
S03,contact,GT0048,DET0048,88.826,88.826,88.826,0.0
S03,contact,GT0049,DET0049,94.832,94.832,94.832,0.0
S03,contact,GT0058,DET0058,167.748,167.748,167.748,0.0
S03,contact,GT0059,DET0059,169.728,169.728,169.728,0.0
S03,contact,GT0060,DET0060,171.228,171.228,171.228,0.0
S03,lap_complete,GT0061,DET0061,186.828,186.828,186.828,0.0
S03,pace_surge,GT0038,DET0038,44.148,44.148,44.148,0.0
S03,pace_surge,GT0043,DET0043,74.24,74.24,74.24,0.0
S03,pace_surge,GT0050,DET0050,102.884,102.884,102.884,0.0
S03,pace_surge,GT0051,DET0051,117.47,117.47,117.47,0.0
S03,pace_surge,GT0053,DET0053,137.088,137.088,137.088,0.0
S03,pace_surge,GT0055,DET0055,148.128,148.128,148.128,0.0
S03,pace_surge,GT0056,DET0056,164.208,164.208,164.208,0.0
S03,position_change,GT0040,DET0040,55.188,55.188,55.188,0.0
S03,position_change,GT0041,DET0041,59.688,59.688,59.688,0.0
S03,position_change,GT0042,DET0042,68.762,68.762,68.762,0.0
S03,position_change,GT0044,DET0044,75.23,75.23,75.23,0.0
