session,event_id,event_type,start_time_s,end_time_s,description,annotator
S01,GT0001,pace_surge,20.348,20.348,acceleration burst 42.5 to 283.3 km/h,operator_review
S01,GT0002,contact,26.354,26.354,damage jumped by 56.0,operator_review
S01,GT0003,contact,27.806,27.806,damage jumped by 111.0,operator_review
S01,GT0004,position_change,29.324,29.324,dropped to P4,operator_review
S01,GT0005,pace_surge,44.928,44.928,acceleration burst 5.9 to 223.3 km/h,operator_review
S01,GT0006,pace_surge,49.428,49.428,acceleration burst 227.8 to 255.8 km/h,operator_review
S01,GT0007,off_track,51.948,51.948,ran wide over the right edge,operator_review
S01,GT0008,contact,52.908,52.908,damage jumped by 98.0,operator_review
S01,GT0009,contact,57.948,57.948,damage jumped by 28.0,operator_review
S01,GT0010,position_change,61.968,61.968,dropped to P5,operator_review
S01,GT0011,pace_surge,69.488,69.488,acceleration burst 88.7 to 120.5 km/h,operator_review
S01,GT0012,off_track,81.566,81.566,ran wide over the right edge,operator_review
S01,GT0013,off_track,93.050,93.050,ran wide over the right edge,operator_review
S01,GT0014,contact,97.604,97.604,damage jumped by 39.0,operator_review
S01,GT0015,contact,98.594,98.594,damage jumped by 326.0,operator_review
S01,GT0016,off_track,103.082,103.082,ran wide over the left edge,operator_review
S01,GT0017,contact,116.678,116.678,damage jumped by 5213.0 (very large hit),operator_review
S01,GT0018,contact,117.668,117.668,damage jumped by 184.0,operator_review
S01,GT0019,contact,118.658,118.658,damage jumped by 236.0,operator_review
S01,GT0020,contact,119.648,119.648,damage jumped by 397.0,operator_review
S02,GT0021,pace_surge,164.448,164.448,acceleration burst 35.7 to 76.9 km/h,operator_review
S02,GT0022,off_track,170.448,170.448,ran wide over the right edge,operator_review
S02,GT0023,lap_complete,175.008,175.008,completed lap 1,operator_review
S02,GT0024,pace_surge,176.508,176.508,acceleration burst 99.6 to 223.3 km/h,operator_review
S02,GT0025,pace_surge,188.028,188.028,acceleration burst 226.2 to 267.6 km/h,operator_review
S02,GT0026,pace_surge,204.588,204.588,acceleration burst 151.1 to 215.4 km/h,operator_review
S02,GT0027,pace_surge,211.128,211.128,acceleration burst 183.0 to 217.2 km/h,operator_review
S02,GT0028,off_track,214.668,214.668,ran wide over the left edge,operator_review
S02,GT0029,off_track,216.648,216.648,ran wide over the right edge,operator_review
S02,GT0030,pace_surge,228.228,228.228,acceleration burst 26.7 to 88.0 km/h,operator_review
S02,GT0031,pace_surge,230.748,230.748,acceleration burst 110.6 to 149.3 km/h,operator_review
S02,GT0032,pace_surge,240.288,240.288,acceleration burst 122.7 to 202.7 km/h,operator_review
S02,GT0033,contact,250.308,250.308,damage jumped by 38.0,operator_review
S02,GT0034,contact,257.868,257.868,damage jumped by 70.0,operator_review
S02,GT0035,pace_surge,279.468,279.468,acceleration burst 73.7 to 257.2 km/h,operator_review
S02,GT0036,lap_complete,300.708,300.708,completed lap 2,operator_review
S03,GT0037,contact,42.588,42.588,damage jumped by 42.0,operator_review
S03,GT0038,pace_surge,44.148,44.148,acceleration burst 126.2 to 280.1 km/h,operator_review
S03,GT0039,contact,54.168,54.168,damage jumped by 65.0,operator_review
S03,GT0040,position_change,55.188,55.188,dropped to P6,operator_review
S03,GT0041,position_change,59.688,59.688,dropped to P7,operator_review
S03,GT0042,position_change,68.762,68.762,dropped to P8,operator_review
S03,GT0043,pace_surge,74.240,74.240,acceleration burst 81.3 to 243.0 km/h,operator_review
