session_id,event_id,request_id,t0_telemetry_received,t1_event_detected,t2_first_token,t3_ai_done,t4_caption_displayed,t5_tts_started,failed,failure_reason
S1,event_001,0760c883-aa5d-49dd-94f1-8be103a16c9d,22553.667310,22554.134147,22554.421621,22555.609596,22555.627690,22555.627988,false,
S1,event_002,b81f84c7-23e5-4ba0-9f75-10bb9ab0acae,22561.763913,22562.222076,22562.334672,22563.882598,22563.918036,22563.918227,false,
S1,event_003,5f85d13c-3283-4c4d-ae6f-8e03c11a7439,22569.375334,22569.832637,22569.945485,22571.127920,22571.149717,22571.149894,false,
S1,event_004,2ef8a82a-7281-4300-8813-6ced27ac5495,22572.410547,22572.887621,22573.007898,22574.201609,22574.214578,22574.216072,false,
S1,event_005,0ebf2db2-0423-4fa5-8f70-c439761e28c9,22575.444201,22575.919469,22576.027350,22577.427500,22577.450323,22577.450484,false,
S1,event_006,503238d7-9c27-448a-bf66-824761e74b2c,22577.967265,22578.462687,22578.599931,22579.857256,22579.874221,22579.874482,false,
S1,event_007,1759dc3e-ae49-4bba-bdcf-08411e422dd2,22579.995277,22580.482431,22580.614409,22581.824943,22581.840451,22581.840765,false,
S1,event_008,f8d0bea1-d47b-4fc0-a16e-9fdcb5c195e5,22582.513668,22583.007800,22583.129134,22584.630516,22584.647363,22584.647521,false,
S1,event_009,10d0148d-c382-44d4-ab30-4d1f20f4b3a9,22590.643118,22591.106231,22591.251462,22593.301522,22593.332408,22593.332680,false,
S1,event_010,4a562142-cede-48dc-8073-9d2d75455a44,22596.212888,22596.675660,22596.789121,22598.010796,22598.029828,22598.030337,false,
S1,event_011,d9eeb88a-7adc-4c1d-b925-453936cc84d3,22601.735071,22602.241879,22602.356285,22603.893521,22603.923462,22603.923625,false,
S1,event_017,6e762e2c-8e6e-4f20-bcb7-6033bc3d2e53,22614.390652,22614.900441,22615.204504,22617.028424,22617.054780,22617.055015,false,
S1,event_018,2e45934a-37e4-47ac-9e69-b7b489653970,22619.967526,22620.470927,22620.598305,22622.320844,22622.344552,22622.344869,false,
S1,event_020,c79633a4-16ff-4e33-a6b2-2d208e22f524,22624.067237,22624.537059,22624.671073,22625.838155,22625.861048,22625.861231,false,
S1,event_021,30a1f74b-4c1d-41ee-941e-65f7921178f7,22632.635296,22633.137940,22633.250014,22634.838794,22634.859889,22634.860130,false,
S1,event_022,c0f8a7ec-0f2a-464a-b4df-52d45bd49a59,22635.212284,22635.664456,22635.796090,22637.467993,22637.487765,22637.487935,false,
S1,event_023,17cae57e-5c4f-4ca9-863f-a320b3537473,22638.257581,22638.701647,22638.832358,22640.170920,22640.189074,22640.189561,false,
S1,event_024,7789e3fc-81a1-4b4e-a8d7-25f696f207da,22641.285489,22641.734153,22641.858426,22643.367340,22643.383477,22643.383674,false,
S1,event_025,f003ab3a-9e9b-499b-98ae-5ac866650f80,22645.776550,22646.278700,22646.428311,22648.491243,22648.519354,22648.519543,false,
S1,event_028,487e39ef-dc92-4953-aac1-e0ef7dd2209f,22654.414638,22654.881538,22655.012165,22656.370607,22656.400406,22656.400654,false,
S1,event_029,762a945a-ac64-4414-a5ee-db9ab9b1c36f,22656.405826,22656.902886,22657.021917,22658.602933,22658.624157,22658.624331,false,
S1,event_032,2e97f13e-9db4-42db-b2c6-511ddd48d604,22663.989944,22664.485473,22664.618975,22665.978386,22666.004982,22666.005163,false,
S1,event_033,52b2feca-8145-450a-83b0-776275b881e5,22669.600617,22670.046329,22670.220995,22672.036611,22672.065758,22672.066263,false,
S1,event_034,80c3a11f-11b1-456b-974d-20d336ea6f42,22675.609442,22676.116746,22676.253910,22677.612310,22677.627947,22677.628130,false,
S1,event_035,d8fcf5c8-d99d-455b-a22d-96f7f2d7e573,22681.719101,22682.183518,22682.329233,22683.872625,22683.899042,22683.899298,false,
S1,event_036,d058acc9-f841-4a85-b5b0-b15d94acf303,22691.800792,22692.308684,22692.471947,22694.375220,22694.404189,22694.404430,false,
S1,event_037,859ab0d6-31bc-4d8e-a7a1-2899a29bf92a,22701.947780,22702.419471,22702.571177,22704.402554,22704.431047,22704.433844,false,
