session_id,event_id,request_id,t0_telemetry_received,t1_event_detected,t2_first_token,t3_ai_done,t4_caption_displayed,t5_tts_started,failed,failure_reason
S2,event_003,b48556d6-6c68-40f3-8416-52c932270202,23112.668108,23113.158848,23113.326004,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_004,262ee319-d131-465e-85c7-d02eb8334e55,23113.692906,23114.177051,23114.750098,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_005,53c57380-42fb-44e3-a14d-0e7d812184ce,23114.706710,23115.184699,,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_008,2cceb9c1-69b1-43db-9cea-514d3e235927,23142.993171,23143.493506,23143.665846,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_010,3c071e2a-4ef7-4016-9a56-0d56278b5bb0,23156.184532,23156.661441,23156.822422,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_011,30b0d288-c79d-4c8a-ae21-c522b1170a70,23157.687148,23158.175668,23158.812634,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_012,78f0fd40-e4e5-4321-b08e-08cc3511d2cc,23158.714334,23159.195327,,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_013,983ae1d9-cff1-45c1-a687-b3638f64a817,23159.735171,23160.202740,23160.715401,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_014,dd84ebf4-a8d4-4ce4-91b8-a207ca13af2d,23160.757335,23161.212976,,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_015,9b6ef2c3-1bb8-406e-a21c-d9792dba9144,23161.767414,23162.226034,23162.665091,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_018,f5289646-3249-41b3-9595-72a0017eed61,23189.582413,23190.071471,23190.243819,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_021,77b77fe5-2798-4563-bda8-c49337183604,23211.356233,23211.823421,23212.004205,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
S2,event_022,a8977f31-ab06-458b-965e-ca1797672856,23212.358930,23212.836911,23213.752244,,,,false,"preempted by a higher/equal priority event (interrupt mode, by design)"
