session_id,event_id,request_id,t0_telemetry_received,t1_event_detected,t2_first_token,t3_ai_done,t4_caption_displayed,t5_tts_started,failed,failure_reason
S3,event_001,7a4d9d44-128a-49a3-8160-07619c29cc00,7156.397736,7156.850318,7157.653534,7158.272345,,,false,
S3,event_002,7754c994-a39e-42bc-bd70-f519b7e78a5d,7159.413533,7159.859528,7160.376183,7160.824389,,,false,
S3,event_003,1f997460-3f39-4a2a-8b62-89741063e556,7166.432103,7166.889364,7167.608659,7168.256615,7168.271599,7168.274492,false,
S3,battle_004,7d9d908a-b68e-45c0-bdaa-b9895a32ae5f,7170.454223,7170.912722,7171.861773,7172.593951,7172.609900,7172.610043,false,
S3,position_change_005,1a4c50c1-951f-480a-bf61-3009ab74ee43,7172.830937,7175.432409,7176.370371,7176.976972,7176.988703,7176.988822,false,
S3,pace_surge_006,2738f649-8aee-49cf-aafb-67df45128942,7177.454277,7177.948866,7178.597616,7179.134735,7179.146987,7179.147126,false,
S3,pace_surge_007,ab311fad-11db-4c6f-97d4-8995d1f774da,7186.031737,7186.489846,7187.101239,7187.707611,7187.723173,7187.723313,false,
S3,pace_surge_008,5f85b72d-f3dc-4330-8e5c-af669af27099,7192.527581,7193.020969,7193.986742,7194.616233,7194.628094,7194.630069,false,
S3,battle_009,e6c256e5-a001-4514-8b75-f4268d226c93,7196.551094,7197.039986,7197.699003,7198.211985,7198.225082,7198.225250,false,
S3,battle_010,1193c5d7-362a-4c77-b2d2-5cb4c2e0d5ef,7198.069983,7198.555875,7199.055251,7199.643459,7199.656731,7199.656865,false,
S3,battle_012,ab1e00e3-076f-4539-9115-e775ad55275d,7200.580767,7201.067559,7201.784116,7202.469552,7202.483612,7202.483748,false,
S3,position_change_014,a2348c3e-c2c2-4125-8b5b-2b7762411a33,7204.992693,7207.600447,7208.312583,7208.879682,7208.896106,7208.896243,false,
S3,position_change_015,4cc9a9d1-154a-4cc1-9ca2-10fff7a5495e,7208.626101,7209.107361,7209.935910,7210.574780,7210.585442,7210.585646,false,
S3,pace_surge_016,06b1a6f4-a4c0-460b-b938-e2aecdc4ad4b,7218.194941,7218.649891,7219.317430,7219.909051,7219.923484,7219.923608,false,
S3,position_change_017,21fc93e4-484e-4696-bc9e-08c5fee7c153,7224.729661,7225.177842,7225.850663,7226.332565,7226.347055,7226.347184,false,
S3,pace_surge_018,29ddfe93-ccb1-41ff-909e-73b4dff65b52,7227.698314,7228.190854,7228.953756,7229.713964,7229.728376,7229.730649,false,
S3,off_track_019,0f011caf-cd1c-4f05-8bd5-6e259604cc5d,7234.233177,7234.723185,7235.542273,7236.224053,7236.238891,7236.239101,false,
S3,contact_023,fdc13dc9-bc6a-4e41-9338-d9eb8b2f9851,7242.316974,7242.779185,7244.665812,7245.359148,7245.374015,7245.376546,false,
S3,position_change_024,bb355494-2693-4a33-9aad-53afa2729ae3,7245.813334,7246.296832,7246.921715,7247.531184,7247.548243,7247.548424,false,
S3,pace_surge_025,c2a68fd1-0013-4b3e-887d-46128b22e67a,7258.387621,7258.855513,7259.617702,7260.324154,7260.342492,7260.342714,false,
S3,lap_complete_026,80bb05dc-1c45-459d-b616-0f1715978264,7268.948146,7269.405458,7270.124399,7270.715353,7270.732705,7270.732833,false,
S3,pace_surge_027,2ec553ac-f357-47dd-bdf0-add80ea4fb09,7423.317897,7423.795095,7424.440865,7425.292169,7425.308830,7425.311392,false,
S3,position_change_028,ecfa4925-ae86-4030-a5f3-990e9198f556,7428.382264,7428.832382,7429.426575,7430.187711,7430.199293,7430.199428,false,
S3,position_change_031,30abcac1-164f-4b50-a16b-95ab98a0fe55,7430.743185,7433.351801,7434.312527,7434.970381,7434.983008,7434.983134,false,
S3,contact_033,c6a78f60-d1e8-4a9f-b6d1-a6511984b16b,7437.938907,7438.376968,7439.440298,7440.077849,7440.090412,7440.090532,false,
S3,pace_surge_034,3090f35b-4e95-4400-8456-8839ea980962,7441.436148,7441.892303,7442.668780,7443.248698,7443.260362,7443.260499,false,
S3,position_change_035,ad5962a2-5a4f-4729-97c1-9c8fa13826d1,7443.946998,7444.402059,7445.014659,7445.473150,7445.484164,7445.484285,false,
S3,pace_surge_036,afcd70c8-faa9-4b7c-a9c1-b93e5bdb27ae,7445.926404,7446.411903,7447.285368,7447.885057,7447.899839,7447.899970,false,
S3,pace_surge_037,6d553a62-cd7f-4dbb-bcd0-07f85ae96c85,7455.483068,7455.943414,7456.866488,7457.542636,7457.555841,7457.555961,false,
S3,position_change_038,da4f954d-a454-4fd4-9d5d-657e762ae0bf,7457.465974,7457.951349,7458.773785,7459.355797,7459.368340,7459.368476,false,
S3,position_change_039,09621f20-6624-41c3-9f91-efa7729a8aeb,7458.961985,7459.458929,7460.115563,7460.675452,7460.688364,7460.688508,false,
S3,pace_surge_040,4a693ab4-626c-41ad-bea6-0d0c6fbd39ea,7462.502823,7462.972664,7463.673046,7464.261109,7464.274056,7464.274174,false,
S3,pace_surge_041,5558f87d-51d4-4a53-8b12-f27975f51705,7466.998802,7467.487280,7468.107331,7468.736610,7468.747983,7468.748154,false,
S3,pace_surge_042,33d6f439-58ac-4f99-8d11-b43b41d7d4fe,7480.076651,7480.561893,7481.277949,7481.898741,7481.911040,7481.912816,false,
S3,contact_043,cb0d26f0-01dd-4b52-83fe-7deb26cd7f22,7487.624059,7488.097654,7488.763321,7489.420544,7489.437237,7489.437381,false,
S3,pace_surge_044,4db007d3-3956-4f80-b752-6c5fc769d582,7489.604912,7490.105664,7490.864561,7491.523630,7491.539077,7491.539214,false,
S3,position_change_045,495ce9b9-df2f-4a6e-852d-bbadb3ec1f33,7496.137238,7496.631223,7497.321353,7497.936158,7497.950604,7497.950736,false,
S3,contact_046,5d086cbd-3ea3-406d-b28e-aefcfe76d323,7495.495407,7498.144263,7498.960187,7499.590905,7499.604667,7499.604806,false,
S3,position_change_048,ff969c0a-9495-4163-bd85-2a5702a02920,7502.158973,7502.660695,7503.448065,7504.087750,7504.105524,7504.105734,false,
S3,pace_surge_049,05f27da7-a95e-45ed-9870-e5ca5096e2c7,7509.745009,7510.191360,7510.789172,7511.259221,7511.275672,7511.275800,false,
S3,pace_surge_050,0ba49947-81f4-4ff4-a5ab-18d17929c998,7515.751810,7516.217716,7517.137399,7517.782036,7517.796940,7517.797071,false,
S3,pace_surge_051,c9c9933a-1d03-4d2a-a36e-f16d51a204fe,7524.796259,7525.259748,7526.182692,7526.773061,7526.787860,7526.788102,false,
S3,contact_052,abafcee5-6421-4b7f-a888-e7adc5bad8ba,7527.587946,7530.283299,7531.171649,7531.903523,7531.923637,7531.926571,false,
S3,off_track_053,5f2ed293-45d4-462b-af6b-954283923822,7533.331900,7533.804403,7534.670116,7535.290666,7535.307013,7535.307162,false,
S3,position_change_054,2389d783-0551-47cf-8f2b-ab12ee9d11ac,7534.851202,7535.320235,7536.052625,7536.593767,7536.610239,7536.610370,false,
S3,pace_surge_055,8d0a3e75-06c2-4101-b1b4-a4ac9ee7684b,7538.878076,7539.338046,7539.972504,7540.651788,7540.668862,7540.669001,false,
S3,pace_update_056,b2212ddb-7b3a-47d1-a163-ad84c22089e3,7559.791136,7562.453576,7563.574102,7564.188397,7564.201259,7564.201505,false,
S3,off_track_057,530c8e75-e6f0-4155-acc1-7c15487b4ae6,7565.974587,7566.470825,7567.275432,7567.993104,7568.010268,7568.010411,false,
